Nederlandse naam,Verdwenen,Ernstig bedreigd,Bedreigd,Kwetsbaar,Gevoelig,Niet bedreigd,Totaal,Totaal bedreigd
Steenvliegen,9,1,1,7,1,1,20,19
Reptielen,0,1,1,3,1,1,7,6
Dagvlinders,15,12,10,7,3,29,76,47
Haften,14,3,1,5,16,21,60,39
Bijen,46,30,42,38,25,150,331,181
Kokerjuffers,9,15,8,23,29,74,158,84
AmfibieÃ«n,0,1,3,3,1,8,16,8
Weekdieren,5,7,18,30,9,93,162,69
Vissen,4,4,5,14,15,63,105,42
Zoogdieren,4,2,2,8,3,29,48,19
Vogels,9,10,12,19,37,109,196,87
Platwormen,0,0,2,2,0,7,11,4
Libellen,5,4,6,6,2,42,65,23
Sprinkhanen en krekels,3,4,0,3,4,30,44,14
